_id,update_date,update_time,qua_id,code_name,longitude,latitude,qua_cntu,qua_cl,qua_ph
1,2015-10-22,09:45:00  ,CS00        ,雙溪淨水場,121.56094,25.11574,0.02,0.62,7.4
2,2015-10-22,09:45:00  ,CS01        ,衛理女中,121.54401,25.10325,0.11,0.45,7.2
3,2015-10-22,09:45:00  ,CS02        ,雙溪國小                ,121.55557,25.10763,0.13,0.27,7.4
4,2015-10-22,09:45:00  ,CS03        ,華興加壓站,121.53476,25.10356,0.11,0.34,7.2
5,2015-10-22,09:45:00  ,CX00        ,長興淨水場,121.54043,25.01633,0.09,0.47,6.9
6,2015-10-22,09:45:00  ,CX02        ,市政大樓,121.55661,25.0425,0.03,0.5,7.4
7,2015-10-22,09:45:00  ,CX03        ,市議會,121.5536,25.04001,0.04,0.47,7.1
8,2015-10-22,09:45:00  ,CX04        ,捷運忠孝復興站,121.53551,25.04251,0.04,0.46,7.4
9,2015-10-22,09:45:00  ,CX05        ,南港高工,121.59892,25.05787,0.04,0.41,6.8
10,2015-10-22,09:45:00  ,CX06        ,南港加壓站,121.60829,25.04994,0.13,0.44,7.0
11,2015-10-22,09:45:00  ,CX07        ,挹翠加壓站,121.56617,25.02339,0.05,0.4,7.1
12,2015-10-22,09:45:00  ,CX08        ,敦化國中                ,121.53852,25.05305,0.03,0.53,7.3
13,2015-10-22,09:45:00  ,GG00        ,公館淨水場,121.52221,25.01421,0.07,0.68,6.9
14,2015-10-22,09:45:00  ,GG01        ,捷運台北車站,121.50946,25.0486,0.07,0.56,7.0
15,2015-10-22,09:45:00  ,GG02        ,捷運中正紀念堂站,121.51198,25.03667,0.05,0.5,7.0
16,2015-10-22,09:45:00  ,GG03        ,萬華國中,121.49045,25.03069,0.02,0.46,7.0
17,2015-10-22,09:45:00  ,GG04        ,華江社區配水池,121.48482,25.03651,0.08,0.41,7.1
18,2015-10-22,09:45:00  ,GG05        ,西門國小,121.49537,25.04475,0.02,0.56,7.0
19,2015-10-22,09:45:00  ,GG06        ,忠孝國小,121.5233,25.04445,0.04,0.49,6.9
20,2015-10-22,09:45:00  ,GG07        ,螢橋國小,121.50684,25.02738,0.07,0.51,7.0
21,2015-10-22,09:45:00  ,JT00        ,直潭淨水場               ,121.52536,24.94578,0.03,0.47,7.2
22,2015-10-22,09:45:00  ,JT02        ,伸仗板配水池,121.53502,24.93163,0.1,0.48,7.3
23,2015-10-22,09:45:00  ,JT10        ,中和加壓站,121.51252,24.99116,0.07,0.42,7.1
24,2015-10-22,09:45:00  ,JT11        ,安康加壓站,121.50043,24.96287,0.03,0.47,7.2
25,2015-10-22,09:45:00  ,JT12        ,頂溪站,121.50717,25.01439,0.08,0.49,7.2
26,2015-10-22,09:45:00  ,JT13        ,中和國小,121.49252,25.00055,0.1,0.45,7.3
27,2015-10-22,09:45:00  ,JT14        ,積穗國小,121.47342,25.00029,0.06,0.5,7.4
28,2015-10-22,09:45:00  ,JT15        ,捷運大坪林站,121.53337,24.9841,0.05,0.42,7.1
29,2015-10-22,09:45:00  ,JT16        ,十二張加壓站,121.54142,24.96792,0.04,0.39,7.1
30,2015-10-22,09:45:00  ,JT17        ,景美女中,121.548,24.98227,0.05,0.47,7.2
31,2015-10-22,09:45:00  ,JT18        ,木柵動物園,121.57299,25.00022,0.02,0.49,7.2
32,2015-10-22,09:45:00  ,JT20        ,公館加壓站,121.52207,25.013,0.05,0.48,7.1
33,2015-10-22,09:45:00  ,JT21        ,萬芳二號配水池,121.55794,25.00461,0.04,0.51,7.0
34,2015-10-22,09:45:00  ,JT22        ,指南二加壓站,121.57322,24.97858,0.03,0.41,7.4
35,2015-10-22,09:45:00  ,JT23        ,木柵二期配水池,121.57822,24.98869,0.08,0.41,7.1
36,2015-10-22,09:45:00  ,JT24        ,三重加壓站,121.48565,25.06458,0.06,0.45,7.1
37,2015-10-22,09:45:00  ,JT25        ,新北高中,121.48253,25.05676,0.06,0.43,7.0
38,2015-10-22,09:45:00  ,JT26        ,指南六加壓站,121.57899,24.96866,0.09,0.25,8.0
39,2015-10-22,09:45:00  ,JT30        ,大同加壓站,121.52114,25.07032,0.04,0.43,7.0
40,2015-10-22,09:45:00  ,JT31        ,麗山國中,121.56421,25.08504,0.07,0.43,7.3
41,2015-10-22,09:45:00  ,JT32        ,重慶國中,121.50988,25.07802,0.05,0.39,7.2
42,2015-10-22,09:45:00  ,JT33        ,台北海洋技術學院,121.46268,25.10985,0.07,0.4,8.2
43,2015-10-22,09:45:00  ,JT34        ,介壽國中,121.54829,25.05794,0.07,0.44,7.0
44,2015-10-22,09:45:00  ,JT35        ,士林國中,121.50809,25.09652,0.04,0.43,7.2
45,2015-10-22,09:45:00  ,JT36        ,陽明高中,121.50891,25.09335,0.08,0.47,7.4
46,2015-10-22,09:45:00  ,JT37        ,捷運石牌站,121.50743,25.11584,0.06,0.4,7.1
47,2015-10-22,09:45:00  ,JT38        ,天母加壓站,121.5253,25.12182,0.06,0.43,7.1
48,2015-10-22,09:45:00  ,JT39        ,關渡國小,121.45823,25.12799,0.04,0.4,7.2
49,2015-10-22,09:45:00  ,JT40        ,捷運淡水站,121.4373,25.16947,0.04,0.42,7.4
50,2015-10-22,09:45:00  ,JT41        ,北投第4配水池,121.4965,25.1477,-9.0,-9.0,-9.0
51,2015-10-22,09:45:00  ,JT42        ,北投加壓站,121.49316,25.12045,0.04,0.38,7.1
52,2015-10-22,09:45:00  ,JT50        ,松山加壓站,121.55965,25.06639,0.08,0.49,7.1
53,2015-10-22,09:45:00  ,JT51        ,內溝里加壓站,121.61561,25.08017,0.04,0.6,7.1
54,2015-10-22,09:45:00  ,JT52        ,潭美國小,121.58255,25.06248,0.11,0.43,7.2
55,2015-10-22,09:45:00  ,JT53        ,東湖國中,121.58088,25.0775,0.08,0.45,7.1
56,2015-10-22,09:45:00  ,JT54        ,民生加壓站,121.54186,25.14058,0.06,0.46,7.0
57,2015-10-22,09:45:00  ,JT55        ,興隆公營住宅1區,121.55806,24.98833,0.02,0.36,8.1
58,2015-10-22,09:45:00  ,YM00        ,陽明淨水場,121.52388,25.15261,0.05,0.59,7.2
59,2015-10-22,09:45:00  ,YM01        ,隧道                  ,121.50303,25.14582,0.01,0.56,6.6
60,2015-10-22,09:45:00  ,YM02        ,中正路配水池                 ,121.53615,25.15329,0.03,0.5,6.7
61,2015-10-22,09:45:00  ,YM03        ,中山樓                 ,121.5451,25.15725,0.14,0.51,7.2
62,2015-10-22,09:45:00  ,YM04        ,鹿角坑(三加),121.54746,25.18501,0.11,0.6,7.6
63,2015-10-22,09:45:00  ,YM05        ,泉源國小,121.51595,25.15081,0.48,0.28,8.0
64,2015-10-22,09:45:00  ,YM06        ,三角埔加壓站,121.52562,25.12964,0.04,0.47,6.8
